appid,currency,initial,final,discount_pct,is_free
1448440,USD,3999,3999,0,0
1455840,USD,1399,1399,0,0
1509960,USD,499,499,0,0
1527950,USD,3499,979,72,0
1584090,USD,599,599,0,0
1659420,USD,4999,4999,0,0
1718570,USD,2499,2499,0,0
1809540,USD,2999,2999,0,0
1966900,USD,499,499,0,0
2051620,USD,0,0,0,1
2218750,USD,666,666,0,0
2369390,USD,5999,5999,0,0
2378900,USD,1199,1199,0,0
2475490,USD,1299,1299,0,0
50,USD,499,499,0,0
80,USD,999,999,0,0
2280,USD,999,999,0,0
7940,USD,1999,1999,0,0
19680,USD,999,999,0,0
22320,USD,1499,1499,0,0
34030,USD,2499,499,80,0
34330,USD,0,0,0,1
42680,USD,3999,3999,0,0
47780,USD,1999,1999,0,0
63380,USD,0,0,0,1
71340,USD,0,0,0,1
204300,USD,1999,1999,0,0
208580,USD,999,999,0,0
209170,USD,5999,5999,0,0
209650,USD,5999,5999,0,0
213610,USD,999,999,0,0
221640,USD,299,299,0,0
221680,USD,999,999,0,0
226700,USD,0,0,0,1
233130,USD,2999,2999,0,0
247080,USD,1499,1499,0,0
249130,USD,1999,1999,0,0
260230,USD,1499,1499,0,0
291650,USD,2999,2999,0,0
302830,USD,0,0,0,1
304240,USD,1999,1999,0,0
314160,USD,2499,2499,0,0
316010,USD,0,0,0,1
333600,USD,999,999,0,0
355840,USD,0,0,0,1
365360,USD,2999,899,70,0
365450,USD,999,999,0,0
383150,USD,1999,199,90,0
384190,USD,1999,1999,0,0
391720,USD,1999,199,90,0
392160,USD,4999,4999,0,0
409720,USD,1999,299,85,0
413420,USD,1999,1999,0,0
420290,USD,0,0,0,1
447020,USD,1499,1499,0,0
464920,USD,0,0,0,1
578650,USD,0,0,0,1
583950,USD,0,0,0,1
584400,USD,1999,1999,0,0
589290,USD,1999,1999,0,0
682990,USD,1999,1999,0,0
699130,USD,2999,2999,0,0
729040,USD,2999,2999,0,0
736190,USD,999,999,0,0
736220,USD,1999,1999,0,0
744900,USD,0,0,0,1
767560,USD,0,0,0,1
774801,USD,999,999,0,0
859580,USD,3999,3999,0,0
903950,USD,2999,2999,0,0
916440,USD,5999,5999,0,0
993090,USD,699,699,0,0
996470,USD,0,0,0,1
1056640,USD,0,0,0,1
1062520,USD,1999,1999,0,0
1084600,USD,3999,3999,0,0
1106840,USD,1499,1499,0,0
1113560,USD,5999,5999,0,0
1149620,USD,1999,1999,0,0
1171690,USD,2499,2499,0,0
1180380,USD,0,0,0,1
1237320,USD,3999,3999,0,0
1262350,USD,1999,1999,0,0
1263850,USD,0,0,0,1
1343400,USD,0,0,0,1
1408720,USD,0,0,0,1
1468260,USD,0,0,0,1
1520470,USD,0,0,0,1
1549970,USD,2999,2999,0,0
1583320,USD,499,499,0,0
1692250,USD,0,0,0,1
1989270,USD,1799,1799,0,0
2531310,USD,4999,4999,0,0
2532550,USD,399,399,0,0
300,USD,999,999,0,0
11020,USD,0,0,0,1
15100,USD,1999,1999,0,0
20510,USD,1999,1999,0,0
32440,USD,1999,1999,0,0
33930,USD,1999,1999,0,0
35010,USD,1999,1999,0,0
38400,USD,999,999,0,0
48190,USD,1999,1999,0,0
65980,USD,3999,3999,0,0
99900,USD,0,0,0,1
209660,USD,5999,5999,0,0
